"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 05, 2020","10,106.43","10,086.09","10,114.33","10,068.10","-","0.20%"
"Oct 02, 2020","10,086.09","10,012.92","10,086.09","9,995.63","-","0.73%"
"Oct 01, 2020","10,012.92","9,985.48","10,012.92","9,985.45","-","0.25%"
"Sep 30, 2020","9,987.83","9,987.06","10,008.85","9,961.75","-","0.01%"
"Sep 29, 2020","9,987.06","9,991.21","10,037.56","9,986.79","-","-0.04%"
"Sep 28, 2020","9,991.21","9,952.63","9,991.83","9,936.48","-","0.39%"
"Sep 25, 2020","9,952.63","9,995.34","10,038.01","9,948.58","-","-0.43%"
"Sep 24, 2020","9,995.34","10,102.65","10,102.65","9,995.34","-","-1.06%"
"Sep 23, 2020","10,102.65","10,119.53","10,141.63","10,087.60","-","-0.17%"
"Sep 22, 2020","10,119.53","10,122.59","10,136.26","10,097.03","-","-0.03%"
"Sep 21, 2020","10,122.59","10,057.38","10,143.61","10,057.38","-","0.38%"
"Sep 18, 2020","10,084.21","10,064.32","10,094.31","10,056.72","-","0.20%"
"Sep 17, 2020","10,064.32","10,101.06","10,127.50","10,064.30","-","-0.36%"
"Sep 16, 2020","10,101.06","10,128.59","10,169.66","10,098.24","-","-0.27%"
"Sep 15, 2020","10,128.78","10,164.32","10,251.13","10,128.65","-","-0.35%"
"Sep 14, 2020","10,164.32","10,232.32","10,250.89","10,164.32","-","-0.66%"
"Sep 11, 2020","10,232.32","10,246.29","10,277.57","10,230.91","-","-0.14%"
"Sep 10, 2020","10,246.29","10,209.61","10,248.32","10,196.85","-","0.36%"
"Sep 09, 2020","10,209.61","10,187.91","10,220.86","10,184.34","-","0.21%"
"Sep 08, 2020","10,187.91","10,231.36","10,231.68","10,184.95","-","-0.43%"
"Sep 07, 2020","10,231.60","10,190.57","10,247.32","10,190.57","-","0.40%"
"Sep 04, 2020","10,190.57","10,277.48","10,297.50","10,190.57","-","-0.87%"
"Sep 03, 2020","10,279.83","10,286.51","10,286.51","10,245.58","-","-0.06%"
"Sep 02, 2020","10,286.51","10,286.25","10,324.98","10,242.18","-","0.00%"
"Sep 01, 2020","10,286.25","10,134.80","10,301.08","10,134.80","-","1.49%"
"Aug 31, 2020","10,134.80","10,073.41","10,146.11","10,068.02","-","0.61%"
"Aug 28, 2020","10,073.41","10,149.46","10,156.39","10,059.70","-","-0.75%"
"Aug 27, 2020","10,149.46","10,212.43","10,212.58","10,149.46","-","-0.62%"
"Aug 26, 2020","10,212.43","10,241.47","10,244.00","10,204.03","-","-0.28%"
"Aug 25, 2020","10,241.47","10,252.76","10,260.27","10,219.43","-","-0.14%"
"Aug 24, 2020","10,255.39","10,247.00","10,282.22","10,196.43","-","-0.10%"
"Aug 19, 2020","10,265.78","10,293.21","10,298.80","10,243.95","-","-0.27%"
"Aug 18, 2020","10,293.21","10,295.28","10,330.27","10,265.63","-","-0.02%"
"Aug 17, 2020","10,295.28","10,309.05","10,319.50","10,270.85","-","-0.13%"
"Aug 13, 2020","10,309.05","10,273.01","10,322.62","10,273.01","-","0.35%"
"Aug 12, 2020","10,273.01","10,253.53","10,275.43","10,223.06","-","0.19%"
"Aug 11, 2020","10,253.53","10,269.66","10,312.44","10,250.47","-","-0.16%"
"Aug 10, 2020","10,269.66","10,236.56","10,301.73","10,236.56","-","0.13%"
"Aug 07, 2020","10,256.81","10,229.14","10,270.57","10,226.61","-","0.27%"
"Aug 06, 2020","10,229.14","10,179.99","10,233.76","10,179.32","-","0.48%"
"Aug 05, 2020","10,179.99","10,158.36","10,202.58","10,152.19","-","0.20%"
"Aug 04, 2020","10,159.57","10,122.52","10,190.80","10,122.39","-","0.36%"
"Aug 03, 2020","10,122.65","10,149.14","10,181.09","10,106.83","-","-1.03%"
"Jul 29, 2020","10,228.27","10,237.41","10,257.93","10,199.17","-","-0.09%"
"Jul 28, 2020","10,237.41","10,206.64","10,242.50","10,196.62","-","0.30%"
"Jul 27, 2020","10,206.64","10,222.40","10,240.75","10,146.77","-","-0.15%"
"Jul 24, 2020","10,222.40","10,228.08","10,251.20","10,211.76","-","-0.06%"
"Jul 23, 2020","10,228.08","10,212.32","10,243.00","10,173.80","-","0.10%"
"Jul 22, 2020","10,218.12","10,228.64","10,234.03","10,174.23","-","-0.19%"
"Jul 21, 2020","10,237.16","10,250.68","10,274.48","10,220.83","-","-0.33%"
"Jul 20, 2020","10,270.88","10,279.94","10,296.84","10,240.75","-","-0.09%"
"Jul 17, 2020","10,280.63","10,277.63","10,292.03","10,257.15","-","-0.00%"
"Jul 16, 2020","10,280.98","10,260.64","10,293.13","10,231.83","-","0.19%"
"Jul 15, 2020","10,261.44","10,156.61","10,266.51","10,143.14","-","1.00%"
"Jul 14, 2020","10,159.84","10,165.46","10,174.14","10,132.67","-","-0.17%"
"Jul 13, 2020","10,177.01","10,148.91","10,212.47","10,147.05","-","0.28%"
"Jul 10, 2020","10,148.91","10,219.17","10,220.61","10,138.32","-","-0.69%"
"Jul 09, 2020","10,219.17","10,172.34","10,222.02","10,170.19","-","0.43%"
"Jul 08, 2020","10,175.37","10,185.94","10,247.71","10,172.56","-","-0.10%"
