"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","1,758.05","1,758.05","1,758.05","1,758.05","-","-1.29%"
"Nov 26, 2020","1,781.09","1,781.09","1,781.09","1,781.09","-","-0.52%"
"Nov 25, 2020","1,790.38","1,790.38","1,790.38","1,790.38","-","-0.02%"
"Nov 24, 2020","1,790.72","1,790.72","1,790.72","1,790.72","-","0.21%"
"Nov 23, 2020","1,786.89","1,786.89","1,786.89","1,786.89","-","0.06%"
"Nov 20, 2020","1,785.88","1,785.88","1,785.88","1,785.88","-","0.08%"
"Nov 19, 2020","1,784.40","1,784.40","1,784.40","1,784.40","-","-0.23%"
"Nov 18, 2020","1,788.54","1,788.54","1,788.54","1,788.54","-","0.06%"
"Nov 17, 2020","1,787.45","1,787.45","1,787.45","1,787.45","-","0.24%"
"Nov 16, 2020","1,783.18","1,783.18","1,783.18","1,783.18","-","-0.35%"
"Nov 13, 2020","1,789.52","1,789.52","1,789.52","1,789.52","-","0.50%"
"Nov 12, 2020","1,780.60","1,780.60","1,780.60","1,780.60","-","-0.60%"
"Nov 11, 2020","1,791.38","1,791.38","1,791.38","1,791.38","-","1.26%"
"Nov 10, 2020","1,769.02","1,769.02","1,769.02","1,769.02","-","0.29%"
"Nov 09, 2020","1,763.87","1,763.87","1,763.87","1,763.87","-","-0.32%"
"Nov 06, 2020","1,769.54","1,769.54","1,769.54","1,769.54","-","-0.04%"
"Nov 05, 2020","1,770.21","1,770.21","1,770.21","1,770.21","-","0.76%"
"Nov 04, 2020","1,756.90","1,756.90","1,756.90","1,756.90","-","0.07%"
"Nov 03, 2020","1,755.75","1,755.75","1,755.75","1,755.75","-","-0.45%"
"Nov 02, 2020","1,763.72","1,763.72","1,763.72","1,763.72","-","-1.12%"
"Oct 30, 2020","1,783.68","1,783.68","1,783.68","1,783.68","-","-0.89%"
"Oct 29, 2020","1,799.77","1,799.77","1,799.77","1,799.77","-","0.11%"
"Oct 28, 2020","1,797.81","1,797.81","1,797.81","1,797.81","-","-0.01%"
"Oct 27, 2020","1,797.99","1,797.99","1,797.99","1,797.99","-","-0.08%"
"Oct 26, 2020","1,799.38","1,799.38","1,799.38","1,799.38","-","0.01%"
"Oct 23, 2020","1,799.29","1,799.29","1,799.29","1,799.29","-","-0.33%"
"Oct 22, 2020","1,805.26","1,805.26","1,805.26","1,805.26","-","-0.24%"
"Oct 21, 2020","1,809.66","1,809.66","1,809.66","1,809.66","-","-0.15%"
"Oct 19, 2020","1,812.42","1,812.42","1,812.42","1,812.42","-","0.07%"
"Oct 16, 2020","1,811.13","1,811.13","1,811.13","1,811.13","-","-0.17%"
"Oct 15, 2020","1,814.17","1,814.17","1,814.17","1,814.17","-","0.05%"
"Oct 14, 2020","1,813.26","1,813.26","1,813.26","1,813.26","-","-0.33%"
"Oct 13, 2020","1,819.27","1,819.27","1,819.27","1,819.27","-","-0.61%"
"Oct 12, 2020","1,830.49","1,830.49","1,830.49","1,830.49","-","-0.33%"
"Oct 09, 2020","1,836.54","1,836.54","1,836.54","1,836.54","-","0.27%"
"Oct 08, 2020","1,831.57","1,831.57","1,831.57","1,831.57","-","-0.25%"
"Oct 07, 2020","1,836.09","1,836.09","1,836.09","1,836.09","-","-0.36%"
"Oct 06, 2020","1,842.68","1,842.68","1,842.68","1,842.68","-","-0.56%"
"Oct 05, 2020","1,853.03","1,853.03","1,853.03","1,853.03","-","0.05%"
"Oct 02, 2020","1,852.17","1,852.17","1,852.17","1,852.17","-","-0.18%"
"Oct 01, 2020","1,855.53","1,855.53","1,855.53","1,855.53","-","0.17%"
"Sep 30, 2020","1,852.29","1,852.29","1,852.29","1,852.29","-","0.40%"
"Sep 29, 2020","1,844.99","1,844.99","1,844.99","1,844.99","-","-0.28%"
"Sep 28, 2020","1,850.21","1,850.21","1,850.21","1,850.21","-","0.14%"
"Sep 25, 2020","1,847.63","1,847.63","1,847.63","1,847.63","-","0.85%"
"Sep 24, 2020","1,832.00","1,832.00","1,832.00","1,832.00","-","-0.47%"
"Sep 23, 2020","1,840.68","1,840.68","1,840.68","1,840.68","-","0.04%"
"Sep 22, 2020","1,839.96","1,839.96","1,839.96","1,839.96","-","-0.47%"
"Sep 21, 2020","1,848.74","1,848.74","1,848.74","1,848.74","-","0.07%"
"Sep 18, 2020","1,847.41","1,847.41","1,847.41","1,847.41","-","0.15%"
"Sep 17, 2020","1,844.60","1,844.60","1,844.60","1,844.60","-","-1.16%"
"Sep 16, 2020","1,866.24","1,866.24","1,866.24","1,866.24","-","-0.62%"
"Sep 15, 2020","1,877.80","1,877.80","1,877.80","1,877.80","-","-0.09%"
"Sep 14, 2020","1,879.44","1,879.44","1,879.44","1,879.44","-","0.20%"
"Sep 11, 2020","1,875.69","1,875.69","1,875.69","1,875.69","-","0.21%"
"Sep 10, 2020","1,871.84","1,871.84","1,871.84","1,871.84","-","1.00%"
"Sep 09, 2020","1,853.32","1,853.32","1,853.32","1,853.32","-","0.15%"
"Sep 08, 2020","1,850.63","1,850.63","1,850.63","1,850.63","-","0.05%"
"Sep 07, 2020","1,849.64","1,849.64","1,849.64","1,849.64","-","-0.29%"
"Sep 04, 2020","1,855.04","1,855.04","1,855.04","1,855.04","-","0.14%"
"Sep 03, 2020","1,852.39","1,852.39","1,852.39","1,852.39","-","0.93%"
"Sep 02, 2020","1,835.30","1,835.30","1,835.30","1,835.30","-","1.41%"
"Sep 01, 2020","1,809.74","1,809.74","1,809.74","1,809.74","-","0.83%"
"Aug 31, 2020","1,794.85","1,794.85","1,794.85","1,794.85","-","0.06%"
"Aug 28, 2020","1,793.76","1,793.76","1,793.76","1,793.76","-","1.27%"
"Aug 27, 2020","1,771.18","1,771.18","1,771.18","1,771.18","-","0.60%"
"Aug 26, 2020","1,760.64","1,760.64","1,760.64","1,760.64","-","1.01%"
"Aug 25, 2020","1,743.08","1,743.08","1,743.08","1,743.08","-","-0.30%"
"Aug 24, 2020","1,748.40","1,748.40","1,748.40","1,748.40","-","1.42%"
"Aug 21, 2020","1,723.96","1,723.96","1,723.96","1,723.96","-","-0.62%"
"Aug 20, 2020","1,734.72","1,734.72","1,734.72","1,734.72","-","0.14%"
"Aug 19, 2020","1,732.34","1,732.34","1,732.34","1,732.34","-","0.17%"
"Aug 18, 2020","1,729.46","1,729.46","1,729.46","1,729.46","-","-0.52%"
"Aug 17, 2020","1,738.43","1,738.43","1,738.43","1,738.43","-","-0.30%"
"Aug 14, 2020","1,743.58","1,743.58","1,743.58","1,743.58","-","0.29%"
"Aug 13, 2020","1,738.58","1,738.58","1,738.58","1,738.58","-","-0.73%"
"Aug 12, 2020","1,751.39","1,751.39","1,751.39","1,751.39","-","1.05%"
"Aug 11, 2020","1,733.14","1,733.14","1,733.14","1,733.14","-","-1.61%"
