"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 10, 2020","25,027.61","25,041.89","25,046.29","24,952.17","175.23M","-0.06%"
"Aug 07, 2020","25,041.89","24,944.45","25,047.70","24,944.45","166.94M","0.45%"
"Aug 06, 2020","24,930.34","24,882.04","24,931.91","24,820.50","173.72M","0.19%"
"Aug 05, 2020","24,882.04","24,841.94","24,910.02","24,841.94","303.28M","0.16%"
"Aug 04, 2020","24,841.94","24,766.12","24,868.82","24,764.26","154.47M","0.31%"
"Aug 03, 2020","24,766.12","24,710.93","24,776.08","24,690.75","186.47M","0.29%"
"Jul 29, 2020","24,693.73","24,650.16","24,713.57","24,646.84","101.53M","0.18%"
"Jul 28, 2020","24,650.16","24,799.05","24,800.81","24,646.53","150.37M","-0.54%"
"Jul 27, 2020","24,783.61","24,427.73","24,788.17","24,427.73","170.00M","1.46%"
"Jul 24, 2020","24,427.73","24,512.27","24,536.82","24,409.99","174.19M","-0.34%"
"Jul 23, 2020","24,512.27","24,173.53","24,615.65","24,170.97","164.07M","1.40%"
"Jul 22, 2020","24,173.53","24,174.45","24,192.52","24,166.96","266.06M","-0.00%"
"Jul 21, 2020","24,174.45","24,269.58","24,303.76","24,130.23","304.19M","-0.41%"
"Jul 20, 2020","24,273.42","24,287.66","24,301.11","24,273.42","305.10M","-0.06%"
"Jul 17, 2020","24,287.66","24,323.50","24,336.59","24,256.64","160.47M","-0.17%"
"Jul 16, 2020","24,330.06","24,129.84","24,330.51","24,112.40","207.40M","0.82%"
"Jul 15, 2020","24,132.30","24,114.59","24,210.22","24,071.13","208.21M","0.06%"
"Jul 14, 2020","24,117.40","24,200.60","24,207.00","24,095.41","208.20M","-0.34%"
"Jul 13, 2020","24,200.60","24,306.36","24,306.36","24,162.70","231.23M","-0.44%"
"Jul 10, 2020","24,306.36","24,276.56","24,315.39","24,251.26","131.63M","0.12%"
"Jul 09, 2020","24,276.56","24,278.07","24,336.45","24,276.56","192.03M","-0.01%"
"Jul 08, 2020","24,278.07","24,097.48","24,278.07","24,097.48","232.61M","0.75%"
"Jul 07, 2020","24,098.08","24,026.05","24,152.67","24,026.05","155.53M","-0.05%"
"Jul 06, 2020","24,109.65","24,336.12","24,352.20","23,961.14","189.67M","-0.93%"
"Jul 03, 2020","24,336.12","24,374.38","24,416.05","24,332.36","144.30M","-0.16%"
"Jul 02, 2020","24,374.40","24,594.99","24,612.25","24,357.75","180.10M","-0.90%"
"Jul 01, 2020","24,594.99","24,479.16","24,723.26","24,479.16","198.01M","0.47%"
"Jun 30, 2020","24,479.16","24,858.82","24,859.88","24,448.23","280.67M","-1.53%"
"Jun 29, 2020","24,858.82","24,828.96","24,858.82","24,740.06","158.45M","0.12%"
"Jun 26, 2020","24,828.96","24,625.17","24,829.17","24,551.35","127.19M","0.83%"
"Jun 25, 2020","24,625.17","24,654.99","24,662.27","24,619.84","130.28M","-0.12%"
"Jun 24, 2020","24,654.99","24,750.06","24,771.97","24,636.63","189.23M","-0.39%"
