"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 02, 2020","129.82","128.18","129.82","128.18","-","1.28%"
"Oct 30, 2020","128.18","124.96","128.18","124.96","-","2.58%"
"Oct 28, 2020","124.96","123.79","124.96","123.79","-","0.95%"
"Oct 27, 2020","123.79","122.19","123.94","122.19","-","1.31%"
"Oct 26, 2020","122.19","123.82","123.86","122.19","-","-1.32%"
"Oct 23, 2020","123.82","123.70","123.82","123.70","-","0.10%"
"Oct 22, 2020","123.70","123.46","123.96","123.46","-","0.19%"
"Oct 21, 2020","123.46","123.35","123.86","123.35","-","0.09%"
"Oct 20, 2020","123.35","123.36","123.46","123.35","-","-0.01%"
"Oct 19, 2020","123.36","122.88","123.36","122.88","-","0.39%"
"Oct 16, 2020","122.88","122.37","122.88","122.37","-","0.42%"
"Oct 15, 2020","122.37","123.10","123.10","122.37","-","-0.59%"
"Oct 14, 2020","123.10","122.75","123.10","122.75","-","0.29%"
"Oct 13, 2020","122.75","123.54","123.54","122.75","-","-0.64%"
"Oct 12, 2020","123.54","123.64","123.73","123.54","-","-0.40%"
"Oct 09, 2020","124.03","123.05","124.03","123.05","-","0.80%"
"Oct 08, 2020","123.05","124.26","124.26","123.05","-","-0.97%"
"Oct 07, 2020","124.26","123.67","124.29","123.67","-","0.48%"
"Oct 06, 2020","123.67","124.18","124.18","123.67","-","-0.41%"
"Oct 05, 2020","124.18","124.12","124.25","124.12","-","0.05%"
"Oct 02, 2020","124.12","125.24","125.35","124.12","-","-0.89%"
"Oct 01, 2020","125.24","126.25","126.25","125.24","-","-0.80%"
"Sep 30, 2020","126.25","125.56","126.25","125.56","-","0.55%"
"Sep 29, 2020","125.56","125.57","125.78","125.56","-","-0.01%"
"Sep 28, 2020","125.57","126.34","126.38","125.57","-","-0.61%"
"Sep 25, 2020","126.34","126.34","126.34","126.34","-","0.81%"
"Sep 24, 2020","125.33","125.33","125.33","125.33","-","-0.43%"
"Sep 22, 2020","125.87","125.65","125.87","125.65","-","0.18%"
"Sep 21, 2020","125.65","126.33","126.50","125.65","-","-0.54%"
"Sep 18, 2020","126.33","126.92","127.02","126.33","-","-0.46%"
"Sep 17, 2020","126.92","126.52","126.92","126.52","-","0.32%"
